"Table 3.9.3. Real Government Consumption Expenditures and Gross Investment, Quantity Indexes"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: April 29, 2021 - Next Release Date May 27, 2021"
"Line","","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"19","        Gross investment",58.279,61.551,70.775,76.645,83.034,88.517,92.584,98.605,106.588,110.370,111.098,105.911,100.000,92.972,86.944,85.760,83.337,86.535,92.725,101.861,108.020
"20","            Structures",106.778,101.436,113.711,127.472,118.039,111.406,111.093,133.864,174.701,222.168,217.325,169.175,100.000,78.124,60.911,56.939,54.146,60.461,62.224,75.038,98.534
"21","            Equipment",46.582,50.168,59.154,63.188,70.095,76.588,82.094,88.809,100.622,104.547,107.160,102.732,100.000,92.534,87.316,85.270,84.976,90.903,98.498,108.677,112.490
"22","            Intellectual property products",68.388,71.893,80.969,88.441,95.564,100.893,103.565,106.817,106.251,104.767,103.800,102.556,100.000,95.224,89.558,89.722,84.854,84.489,89.612,97.055,103.549
"23","                Software",63.615,60.208,58.711,60.441,62.555,65.759,68.893,73.309,78.576,80.314,88.613,95.508,100.000,101.582,104.928,106.725,114.791,122.951,136.335,146.241,152.599
"24","                Research and development",68.572,73.360,84.348,92.820,100.793,106.463,109.043,112.085,110.554,108.545,106.102,103.608,100.000,94.297,87.346,87.283,80.641,79.127,83.152,90.237,96.697
"25","    Nondefense",68.449,71.646,76.876,79.828,81.471,82.699,85.796,86.099,90.465,96.608,102.626,99.135,100.000,96.457,96.372,99.546,101.693,101.235,103.387,105.233,111.077
"26","        Consumption expenditures",68.101,71.982,77.238,80.369,82.296,83.541,86.360,86.318,91.162,98.047,103.336,98.469,100.000,97.431,97.171,100.130,101.557,100.288,102.892,103.980,110.168
"27","        Gross investment",69.008,70.616,75.766,78.267,79.181,80.364,84.196,85.431,88.484,92.578,100.627,101.020,100.000,93.692,94.108,97.906,102.151,104.086,104.886,109.021,113.824
"28","            Structures",91.688,86.003,103.062,104.132,92.016,70.547,76.231,86.461,82.889,87.359,116.901,119.172,100.000,78.453,79.264,82.133,79.188,63.585,72.767,85.159,85.469
"29","            Equipment",47.947,45.723,56.876,59.965,65.516,75.039,87.667,84.102,93.477,96.190,103.440,98.822,100.000,87.075,92.579,99.133,99.815,99.667,103.922,102.628,102.909
"30","            Intellectual property products",71.588,75.163,77.152,79.670,81.061,83.229,84.617,85.598,88.288,92.621,97.452,98.599,100.000,97.518,96.831,100.217,106.400,111.736,110.389,114.157,120.651
"31","                Software",55.163,57.971,52.522,52.905,56.358,61.384,65.164,70.817,77.035,78.346,86.696,94.029,100.000,101.932,105.637,106.082,113.638,121.638,133.610,141.764,144.713
"32","                Research and development",76.463,80.262,84.961,88.214,88.873,90.054,90.632,90.066,91.606,96.888,100.628,99.936,100.000,96.245,94.319,98.522,104.321,108.929,104.094,106.734,114.064
"33","State and local",97.646,101.242,104.167,103.877,103.761,103.760,104.927,106.712,106.927,108.923,105.988,102.256,100.000,99.722,99.900,102.834,105.484,106.792,108.091,109.460,108.572
"34","    Consumption expenditures",95.934,99.192,101.865,101.175,101.295,101.894,102.878,104.768,104.950,107.652,105.022,101.557,100.000,100.254,100.420,103.116,105.615,106.801,107.903,109.003,107.040
"35","    Gross investment",105.435,110.590,114.677,116.277,115.034,112.198,114.211,115.517,115.883,114.715,110.406,105.451,100.000,97.281,97.521,101.547,104.885,106.753,108.945,111.536,115.511
"36","        Structures",114.729,121.074,126.126,127.497,125.118,120.356,120.527,118.912,118.306,117.484,113.426,107.113,100.000,95.711,95.810,100.066,102.727,103.266,104.619,107.055,111.526
"37","        Equipment",82.163,83.897,85.619,86.445,86.343,87.680,95.511,109.538,113.300,108.980,101.351,99.489,100.000,101.668,100.284,100.969,108.006,116.540,121.652,124.406,126.434
"38","        Intellectual property products",65.851,68.788,70.248,74.119,78.320,82.163,88.565,94.141,97.697,97.966,96.054,98.679,100.000,105.643,109.325,115.638,120.431,126.212,132.792,136.673,137.831
"39","            Software",64.821,66.538,64.857,69.787,76.109,80.568,85.068,89.337,93.110,93.175,91.652,96.248,100.000,105.085,110.384,115.343,121.389,130.593,145.280,150.224,158.910
"40","            Research and development",66.304,70.580,75.514,78.208,80.186,83.392,91.661,98.505,101.839,102.300,100.030,100.857,100.000,106.136,108.419,115.890,119.616,122.540,122.562,125.593,120.953
"Legend / Footnotes:"
"1. Government consumption expenditures are services (such as education and national defense) produced by government that are valued at their cost of production. Excludes government sales to other sectors and government own-account investment (construction, software, and research and development)."
"2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory investment is included in government consumption expenditures."
